Bank,Tenant,Trans Date,Account,Contact,Amount,Type,Line Description
Bank A,BrightSmile Dental,03-Jul-2024 00:00:00,Equipment Leasing - Head office,Grenke Leasing,£ 126.54,ACCPAYPAYMENT,"Grenke - 0000297159/2024
Quarterly fee for the period 01/07/2024 to 30/09/2024"
Bank A,BrightSmile Dental,06-Jan-2025 00:00:00,Equipment Leasing - Head office,Grenke Leasing,£ 126.54,ACCPAYPAYMENT,Greneke leasing - 01.01.25 - 31.03.25
Bank A,BrightSmile Dental,03-Oct-2024 00:00:00,Equipment Leasing - Head office,Grenke Leasing,£ 523.58,ACCPAYPAYMENT,Quarterly fee for the period 1/10/24 to 31/12/24
Bank A,BrightSmile Dental,03-Oct-2024 00:00:00,Equipment Leasing - Head office,Grenke Leasing,£ 126.54,ACCPAYPAYMENT,Quarterly fee for the period 1/10/24 to 31/12/24
Bank A,BrightSmile Dental,29-Jul-2024 00:00:00,Consulting,Harold Benjamin,"£ 2,731.00",ACCPAYPAYMENT,"To professional charges for preparing and issuing 
possession proceedings."
Bank A,BrightSmile Dental,06-Jan-2025 00:00:00,Equipment Leasing - Head office,Grenke Leasing,£ 523.58,ACCPAYPAYMENT,Geneke leasing - 01.01.25 - 31.03.25
Bank A,BrightSmile Dental,06-Jan-2025 00:00:00,Equipment Leasing - Head office,Grenke Leasing,£ 89.00,ACCPAYPAYMENT,Equipment Protection for the year 2025
Bank A,BrightSmile Dental,04-Apr-2024 00:00:00,Equipment Leasing,Grenke Leasing,£ 126.54,ACCPAYPAYMENT,Grenke - 0000200294/2024
Bank A,BrightSmile Dental,04-Apr-2024 00:00:00,Equipment Leasing,Grenke Leasing,£ 523.58,ACCPAYPAYMENT,Grenke - 0000183442/2024
Bank A,BrightSmile Dental,03-Jul-2024 00:00:00,Equipment Leasing - Head office,Grenke Leasing,£ 523.58,ACCPAYPAYMENT,"Grenke - 0000297159/2024
Quarterly fee for the period 01/07/2024 to 30/09/2024"
Bank B,BrightSmile Dental,17-Oct-2024 00:00:00,Repairs and Maintenance,Advanced Craft Limited,£ 315.00,ACCPAYPAYMENT,To supply amd fit new monoblock taps to kitchen sink including all adaptation and alterations to pipework including renewal of defective elbow.
Bank B,BrightSmile Dental,31-May-2024 00:00:00,Laboratory Fees,,"£ 3,171.00",ACCPAYPAYMENT,Sheppey Dental Lab - I001563
Bank B,BrightSmile Dental,31-May-2024 00:00:00,Laboratory Fees,,£ 20.00,ACCPAYPAYMENT,Sheppey Dental Lab - I001460 date delivered 31.10.23
Bank B,BrightSmile Dental,28-Jun-2024 00:00:00,Laboratory Fees,Sheppey Dental Lab,"£ 1,732.00",ACCPAYPAYMENT,Sheppey Dental Lab - I001729
Bank B,BrightSmile Dental,03-Jul-2024 00:00:00,Repairs and Maintenance,,£ 150.00,ACCPAYPAYMENT,Pat Testing Fixed rate
Bank B,BrightSmile Dental,28-Jun-2024 00:00:00,Laboratory Fees,Sheppey Dental Lab,£ 60.00,ACCPAYPAYMENT,Sheppey Dental Lab - I001730
Bank B,BrightSmile Dental,28-Jun-2024 00:00:00,Laboratory Fees,Sheppey Dental Lab,"£ 1,792.00",ACCPAYPAYMENT,Sheppey Dental Lab - I001760
Bank B,BrightSmile Dental,15-Oct-2024 00:00:00,Repairs and Maintenance,DNA Security Ltd,£ 72.00,ACCPAYPAYMENT,Dna-security - 11080
Bank B,BrightSmile Dental,05-Dec-2024 00:00:00,Repairs and Maintenance,Bassett Lock & Key Ltd,£ 65.00,ACCPAYPAYMENT,Bassett Lock & Key Ltd
Bank B,BrightSmile Dental,07-Aug-2024 00:00:00,Repairs and Maintenance,Heat Tech,£ 72.00,ACCPAYPAYMENT,Labour
Bank B,BrightSmile Dental,15-Oct-2024 00:00:00,Hire of Equipment,Speciality Oxygen Service Ltd,£ 240.00,ACCPAYPAYMENT,"2.7L Responder O2 -Standard Service Yearly Rental
Annual rental of medical gas cylinders"
Bank B,BrightSmile Dental,09-Oct-2024 00:00:00,Repairs and Maintenance,GBSE Ltd,£ 82.80,ACCPAYPAYMENT,Call out fee agreed
Bank B,BrightSmile Dental,31-May-2024 00:00:00,Laboratory Fees,,£ 395.00,ACCPAYPAYMENT,Sheppey Dental Lab - I001496 date delivered 30/11/23
Bank B,BrightSmile Dental,18-Oct-2024 00:00:00,Repairs and Maintenance,TSS Facilities,£ 360.00,ACCPAYPAYMENT,Site atendance to carry out AC miaintenance
Bank B,BrightSmile Dental,15-Oct-2024 00:00:00,Hire of Equipment,Speciality Oxygen Service Ltd,£ 96.00,ACCPAYPAYMENT,Delievery
Bank C,BrightSmile Dental,20-Apr-2024 00:00:00,Printing and Stationery,,£ 22.20,ACCPAYPAYMENT,BSG - SINV01598266
Bank C,BrightSmile Dental,15-Nov-2024 00:00:00,Computer Running Costs,Support pdf,£ 1.57,RECEIVE,Refund: SupportPDFfiller.com - 8557501663 - Card Ending: 7850
Bank C,BrightSmile Dental,15-Aug-2024 00:00:00,Capital On Tap,,"£ 9,076.20",RECEIVE-TRANSFER,Bank Transfer from Bank E.
Bank C,BrightSmile Dental,20-Apr-2024 00:00:00,Printing and Stationery,,£ 22.20,ACCPAYPAYMENT,BSG - SINV01596321
Bank C,BrightSmile Dental,20-Feb-2025 00:00:00,Professional Subscriptions - Head office,MICROSOFT,£ 178.56,ACCPAYPAYMENT,"Exchange Online (Plan 2) - One-Year commitment for monthly/yearly billing
19/02/2025-18/02/2026"
Bank C,BrightSmile Dental,28-Aug-2024 00:00:00,Materials,MediSAVEUK,£ 27.59,ACCPAYPAYMENT,"Standard 3, BD Luer lock syringes 5ml*125"
Bank C,BrightSmile Dental,08-Jan-2025 00:00:00,Recruitment Costs,UCHECK,£ 36.20,SPEND,UCHECK HR05861482 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,05-Nov-2024 00:00:00,Recruitment Costs,UCHECK,£ 52.70,SPEND,UCHECK HR05574986 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,21-May-2024 00:00:00,Bank H,Next Dental,"£ 3,950.09",ACCPAYPAYMENT,South Cliff Dental Group - Margate NHS
Bank C,BrightSmile Dental,21-May-2024 00:00:00,Materials,Next Dental,"£ 1,083.36",ACCPAYPAYMENT,South Cliff Dental Group - Sheerness NHS
Bank C,BrightSmile Dental,26-Jul-2024 00:00:00,Materials,EBAY,£ 173.85,ACCPAYPAYMENT,London College Tweezers Dental Surgical Diagnostic Dental Forceps Veterinary Lab (274876236056)
Bank C,BrightSmile Dental,04-Sep-2024 00:00:00,Materials,EBAY,£ 98.06,ACCPAYPAYMENT,Dental amalgamator high speed digital capsule mixer electric lab amalgamator
Bank C,BrightSmile Dental,20-Apr-2024 00:00:00,Printing and Stationery,,£ 22.20,ACCPAYPAYMENT,BSG - SINV01598268
Bank C,BrightSmile Dental,20-Apr-2024 00:00:00,General Waste,,£ 45.00,ACCPAYPAYMENT,Direct365 -0001806423
Bank C,BrightSmile Dental,23-Jan-2025 00:00:00,Recruitment Costs,UCHECK,£ 64.20,SPEND,UCHECK HR05918443 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,24-Dec-2024 00:00:00,Recruitment Costs,UCHECK,£ 36.20,SPEND,UCHECK HR05751304 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,19-Oct-2024 00:00:00,Recruitment Costs,UCHECK,£ 52.70,ACCPAYPAYMENT,Ucheck-3077188
Bank C,BrightSmile Dental,11-Jan-2025 00:00:00,Recruitment Costs,UCHECK,£ 64.20,SPEND,UCHECK HR05855682 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,20-Aug-2024 00:00:00,Dale Road inter company loan account,DIRECT 365,£ 78.00,ACCPAYPAYMENT,Booked based on Statement
Bank C,BrightSmile Dental,20-Aug-2024 00:00:00,General Waste,DIRECT 365,£ 54.59,ACCPAYPAYMENT,"240 Litre Recycling Waste Covering: 28/06/202 to 27/07/2024
660 Litre Trade Waste Lockable Covering: 28/06/2024 to 27/07/2024"
Bank C,BrightSmile Dental,21-May-2024 00:00:00,Bewbush Dental Care Limited Intercompany,Next Dental,"£ 1,341.05",ACCPAYPAYMENT,South Cliff Dental Group - Bewbush NHS
Bank C,BrightSmile Dental,24-Jul-2024 00:00:00,Printing and Stationery,BSG,£ 24.44,ACCPAYPAYMENT,"2-Ply White 200 Sheet Toilet Roll (Pack of 36) TWH200T


"
Bank C,BrightSmile Dental,04-Sep-2024 00:00:00,Materials,EBAY,£ 64.20,ACCPAYPAYMENT,Dur yellow suction filters
Bank C,BrightSmile Dental,25-Nov-2024 00:00:00,Interest Paid,Capital on Tap,"£ 2,321.23",SPEND,Interest Charge (26/10/2024 - 25/11/2024)
Bank C,BrightSmile Dental,24-Jul-2024 00:00:00,Printing and Stationery,BSG,£ 22.20,ACCPAYPAYMENT,
Bank C,BrightSmile Dental,20-Aug-2024 00:00:00,Printing and Stationery,BSG,£ 10.20,ACCPAYPAYMENT,2-Ply White 200 Sheet Toilet Roll (Pack of 36) TWH200T
Bank C,BrightSmile Dental,20-Apr-2024 00:00:00,Materials,,£ 9.99,ACCPAYPAYMENT,Screwfix-1468342037
Bank C,BrightSmile Dental,24-Apr-2024 00:00:00,Dale Road inter company loan account,,£ 838.41,ACCPAYPAYMENT,South Cliff Dental Group - Central Portland NHS
Bank C,BrightSmile Dental,20-Apr-2024 00:00:00,General Waste,,£ 114.00,ACCPAYPAYMENT,Direct365 - 0001802131
Bank C,BrightSmile Dental,18-Jul-2024 00:00:00,Materials,Next Dental,"£ 2,750.06",ACCPAYPAYMENT,Battle Road
Bank C,BrightSmile Dental,20-Apr-2024 00:00:00,Materials,,£ 27.98,ACCPAYPAYMENT,ScrewFix - 1461233720
Bank C,BrightSmile Dental,24-Apr-2024 00:00:00,Steyning inter company loan account,,"£ 1,218.84",ACCPAYPAYMENT,South Cliff Dental Group - Steyning NHS
Bank C,BrightSmile Dental,05-Dec-2024 00:00:00,Recruitment Costs,UCHECK,£ 64.20,SPEND,UCHECK HR05650161 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,20-Aug-2024 00:00:00,Bank H,DIRECT 365,£ 186.00,ACCPAYPAYMENT,Booked based on Statement
Bank C,BrightSmile Dental,20-Dec-2024 00:00:00,Recruitment Costs,UCHECK,£ 64.20,SPEND,UCHECK HR05707244 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,16-Nov-2024 00:00:00,Recruitment Costs,UCHECK,£ 52.70,SPEND,UCHECK HR05548056 - CHESHIRE - Card Ending: 7850
